advertiser_id,product_id,type,date
LW045DVYSGRD75TK6U54,mjdo61,impression,2023-04-21
LTRZRCI4M19WYVL6Q6L5,s1p6im,impression,2023-04-21
IOBPI63RBJIHI5FB7U9O,7kcrk2,impression,2023-04-21
P41C5HK4P2G5GFRMT6ZA,zv971s,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,0pdrve,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,gi4frf,impression,2023-04-21
5E325T5HYL61QSABVR5V,bvr4aa,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,nd3nlr,impression,2023-04-21
K6Z0X85ZUY0TSF4RCG5J,v6wcl6,impression,2023-04-21
LTRZRCI4M19WYVL6Q6L5,11eo2z,impression,2023-04-21
SOVPFK3BBWKTQM9HOHWJ,mmmzn4,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,gtpmkl,impression,2023-04-21
P41C5HK4P2G5GFRMT6ZA,bk64ft,impression,2023-04-21
EN1SA43DTN2LIR8DEW5S,7sqw8f,impression,2023-04-21
8C88YB6E8YCGWU07HA7A,6ojxvu,impression,2023-04-21
EN1SA43DTN2LIR8DEW5S,osw36t,impression,2023-04-21
OY5LNPB5A8FF43ITRZG3,3zbxdn,impression,2023-04-21
LW045DVYSGRD75TK6U54,wepa0m,impression,2023-04-21
K6Z0X85ZUY0TSF4RCG5J,bvaxfo,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,tnp14h,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,zs5the,impression,2023-04-21
62FIK8F2YT8JSFDBLEC9,20zxlp,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,i9ntsi,impression,2023-04-21
K6Z0X85ZUY0TSF4RCG5J,xk56k2,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,pf9vuv,impression,2023-04-21
IDOFCO721HTJGDH7332G,pcqkpt,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,lka0ux,impression,2023-04-21
K6Z0X85ZUY0TSF4RCG5J,g3fn1m,impression,2023-04-21
P41C5HK4P2G5GFRMT6ZA,9eaosn,impression,2023-04-21
OY5LNPB5A8FF43ITRZG3,q4kg7l,impression,2023-04-21
62FIK8F2YT8JSFDBLEC9,8f7mzk,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,z2aszi,impression,2023-04-21
8C88YB6E8YCGWU07HA7A,d723xs,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,zvkgzx,impression,2023-04-21
EN1SA43DTN2LIR8DEW5S,ar5h7u,impression,2023-04-21
62FIK8F2YT8JSFDBLEC9,xtntrj,impression,2023-04-21
OY5LNPB5A8FF43ITRZG3,aoelr9,impression,2023-04-21
K6Z0X85ZUY0TSF4RCG5J,d066tx,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,ve2187,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,26clyi,impression,2023-04-21
LTRZRCI4M19WYVL6Q6L5,unq3hi,impression,2023-04-21
K6Z0X85ZUY0TSF4RCG5J,a8fvpm,impression,2023-04-21
GXLKAA83238FVRU718EX,5k6stq,impression,2023-04-21
62FIK8F2YT8JSFDBLEC9,7qcwsx,impression,2023-04-21
P41C5HK4P2G5GFRMT6ZA,pc9g2u,impression,2023-04-21
LW045DVYSGRD75TK6U54,y6e7bq,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,pf9vuv,impression,2023-04-21
GXLKAA83238FVRU718EX,ht82qi,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,54t2v9,impression,2023-04-21
8C88YB6E8YCGWU07HA7A,c0hvb3,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,0f1rc1,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,5em4lz,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,7o3dcz,impression,2023-04-21
5E325T5HYL61QSABVR5V,zyzuqj,impression,2023-04-21
SOVPFK3BBWKTQM9HOHWJ,847yto,impression,2023-04-21
K6Z0X85ZUY0TSF4RCG5J,vru8v8,impression,2023-04-21
LTRZRCI4M19WYVL6Q6L5,9o6189,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,bj20tn,impression,2023-04-21
GXLKAA83238FVRU718EX,6ut1bp,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,ur643h,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,3gcyfz,impression,2023-04-21
K6Z0X85ZUY0TSF4RCG5J,a2hdle,impression,2023-04-21
P41C5HK4P2G5GFRMT6ZA,zejm0f,impression,2023-04-21
OY5LNPB5A8FF43ITRZG3,d6k76j,impression,2023-04-21
EN1SA43DTN2LIR8DEW5S,p4de8i,impression,2023-04-21
5E325T5HYL61QSABVR5V,ea8b1r,impression,2023-04-21
SOVPFK3BBWKTQM9HOHWJ,lc67d7,impression,2023-04-21
P41C5HK4P2G5GFRMT6ZA,gdus1g,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,hwe5r3,impression,2023-04-21
62FIK8F2YT8JSFDBLEC9,kun8in,impression,2023-04-21
GXLKAA83238FVRU718EX,mejm49,impression,2023-04-21
GXLKAA83238FVRU718EX,5kdmbv,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,ifycvc,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,8kal1o,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,b8hkbl,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,e34vmv,impression,2023-04-21
5E325T5HYL61QSABVR5V,u981g8,impression,2023-04-21
IOBPI63RBJIHI5FB7U9O,ebp84f,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,ngu3ap,impression,2023-04-21
OY5LNPB5A8FF43ITRZG3,g644fq,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,qwdsdh,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,8kal1o,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,9qi58g,impression,2023-04-21
GXLKAA83238FVRU718EX,e9zlzu,impression,2023-04-21
8C88YB6E8YCGWU07HA7A,k3sixh,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,dinjn2,impression,2023-04-21
LTRZRCI4M19WYVL6Q6L5,si0vhg,impression,2023-04-21
OY5LNPB5A8FF43ITRZG3,upewg5,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,zs5the,impression,2023-04-21
GXLKAA83238FVRU718EX,8xdtwu,impression,2023-04-21
8C88YB6E8YCGWU07HA7A,2uk6zv,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,0t68sp,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,tw2frc,impression,2023-04-21
LW045DVYSGRD75TK6U54,0d67kc,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,bpwhmw,impression,2023-04-21
IOBPI63RBJIHI5FB7U9O,hgf40x,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,pf9vuv,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,ejenjm,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,w1sbkn,impression,2023-04-21
P41C5HK4P2G5GFRMT6ZA,tnjo6b,impression,2023-04-21
K6Z0X85ZUY0TSF4RCG5J,usga8i,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,5em4lz,impression,2023-04-21
OY5LNPB5A8FF43ITRZG3,3d8ere,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,k5i4y9,impression,2023-04-21
LW045DVYSGRD75TK6U54,6dgx56,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,lh3xv5,impression,2023-04-21
62FIK8F2YT8JSFDBLEC9,bb8g4l,impression,2023-04-21
8C88YB6E8YCGWU07HA7A,xou5ht,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,0onu9d,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,nd4e9p,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,r52bi2,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,qs3n4t,impression,2023-04-21
EN1SA43DTN2LIR8DEW5S,0zhiti,impression,2023-04-21
IOBPI63RBJIHI5FB7U9O,75xk5m,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,4w7zdk,impression,2023-04-21
EN1SA43DTN2LIR8DEW5S,1qjtjq,impression,2023-04-21
2WPF1NXECF3G6NUMWDO7,llchj6,impression,2023-04-21
IOBPI63RBJIHI5FB7U9O,g3fl74,impression,2023-04-21
LTRZRCI4M19WYVL6Q6L5,dyok7q,impression,2023-04-21
P41C5HK4P2G5GFRMT6ZA,smr9z4,impression,2023-04-21
2WPF1NXECF3G6NUMWDO7,76qblo,impression,2023-04-21
2WPF1NXECF3G6NUMWDO7,y90z0f,impression,2023-04-21
5E325T5HYL61QSABVR5V,q26rdd,impression,2023-04-21
SOVPFK3BBWKTQM9HOHWJ,kyfsy6,impression,2023-04-21
GXLKAA83238FVRU718EX,l5hufx,impression,2023-04-21
IDOFCO721HTJGDH7332G,agncc0,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,1ldory,impression,2023-04-21
8C88YB6E8YCGWU07HA7A,snjsrv,impression,2023-04-21
5E325T5HYL61QSABVR5V,bngzct,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,fl2w1e,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,5zmptw,impression,2023-04-21
LTRZRCI4M19WYVL6Q6L5,ndhwyv,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,ps28xa,impression,2023-04-21
2WPF1NXECF3G6NUMWDO7,k42dsg,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,r1wr9m,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,ejenjm,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,35qfbq,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,nwghhs,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,7rh4yt,impression,2023-04-21
SOVPFK3BBWKTQM9HOHWJ,r5kktm,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,0t68sp,impression,2023-04-21
2WPF1NXECF3G6NUMWDO7,4vcn5d,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,udfm3t,impression,2023-04-21
GXLKAA83238FVRU718EX,a8b53b,impression,2023-04-21
IDOFCO721HTJGDH7332G,o4gudb,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,uxmfa5,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,wne0jt,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,ocsvy4,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,2se51h,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,uiaa95,impression,2023-04-21
8C88YB6E8YCGWU07HA7A,38pb7s,impression,2023-04-21
K6Z0X85ZUY0TSF4RCG5J,gtvv74,impression,2023-04-21
8C88YB6E8YCGWU07HA7A,a9ml21,impression,2023-04-21
LTRZRCI4M19WYVL6Q6L5,kgg55i,impression,2023-04-21
SOVPFK3BBWKTQM9HOHWJ,7naikd,impression,2023-04-21
62FIK8F2YT8JSFDBLEC9,gfm43z,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,vhz6td,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,8tte7t,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,x5imtg,impression,2023-04-21
62FIK8F2YT8JSFDBLEC9,3p7hn3,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,zs5the,impression,2023-04-21
SOVPFK3BBWKTQM9HOHWJ,6qe0ua,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,1vk9yp,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,2p4plx,impression,2023-04-21
OY5LNPB5A8FF43ITRZG3,8rs9aj,impression,2023-04-21
OY5LNPB5A8FF43ITRZG3,8rs9aj,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,02uw1c,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,btwj3e,impression,2023-04-21
GXLKAA83238FVRU718EX,qsqf9m,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,l17yr6,impression,2023-04-21
LTRZRCI4M19WYVL6Q6L5,rrzymc,impression,2023-04-21
8C88YB6E8YCGWU07HA7A,rk9x1r,impression,2023-04-21
2WPF1NXECF3G6NUMWDO7,0ab8ts,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,w8vn3a,impression,2023-04-21
LW045DVYSGRD75TK6U54,6xse45,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,gtpmkl,impression,2023-04-21
IOBPI63RBJIHI5FB7U9O,rlapdt,impression,2023-04-21
LW045DVYSGRD75TK6U54,a79i17,impression,2023-04-21
P41C5HK4P2G5GFRMT6ZA,nv51ct,impression,2023-04-21
5E325T5HYL61QSABVR5V,eu119b,impression,2023-04-21
IDOFCO721HTJGDH7332G,2qicpc,impression,2023-04-21
GXLKAA83238FVRU718EX,93w9f6,impression,2023-04-21
IOBPI63RBJIHI5FB7U9O,qxogco,impression,2023-04-21
LW045DVYSGRD75TK6U54,laqfl1,impression,2023-04-21
LW045DVYSGRD75TK6U54,nnbet1,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,qheqet,impression,2023-04-21
62FIK8F2YT8JSFDBLEC9,vxmpew,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,qnzwqb,impression,2023-04-21
M0LU6DCI1WILGQBZ6808,gbdk4r,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,16d08n,impression,2023-04-21
OAGTYWN8WFC997VLDJH7,zw5uig,impression,2023-04-21
EN1SA43DTN2LIR8DEW5S,7sqw8f,impression,2023-04-21
K6Z0X85ZUY0TSF4RCG5J,0hzpqs,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,ehvtdo,impression,2023-04-21
IDOFCO721HTJGDH7332G,ca81hb,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,m16in7,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,09wz8d,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,s4bis2,impression,2023-04-21
EN1SA43DTN2LIR8DEW5S,hnz5pu,impression,2023-04-21
GXLKAA83238FVRU718EX,z2ymwq,impression,2023-04-21
EN1SA43DTN2LIR8DEW5S,svowxw,impression,2023-04-21
Y0W3K7OV6ZLILW96OO3K,51i3ex,impression,2023-04-21
2WPF1NXECF3G6NUMWDO7,l9vc79,impression,2023-04-21
6X20RDH567MX2X3TXYJ7,vuispu,impression,2023-04-21
LTRZRCI4M19WYVL6Q6L5,d2fb4c,impression,2023-04-21
OY5LNPB5A8FF43ITRZG3,trnrdp,impression,2023-04-21
SOVPFK3BBWKTQM9HOHWJ,xsdcyh,impression,2023-04-21
8C88YB6E8YCGWU07HA7A,awvia8,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,ib5gq3,impression,2023-04-21
SOVPFK3BBWKTQM9HOHWJ,d9o4jq,impression,2023-04-21
AK81O7W3KGPEN8LABG2N,9qi58g,impression,2023-04-21
KD9PHCBGYFBRI9ET1O9R,kiiln1,impression,2023-04-21
8C88YB6E8YCGWU07HA7A,zx16wg,impression,2023-04-21
