advertiser_id,product_id,date
KD9PHCBGYFBRI9ET1O9R,kiiln1,2023-04-21
OY5LNPB5A8FF43ITRZG3,fxgf7r,2023-04-21
P41C5HK4P2G5GFRMT6ZA,2b32wi,2023-04-21
8C88YB6E8YCGWU07HA7A,9m5cwq,2023-04-21
5E325T5HYL61QSABVR5V,486rim,2023-04-21
Y0W3K7OV6ZLILW96OO3K,jtdoim,2023-04-21
LTRZRCI4M19WYVL6Q6L5,16rfm6,2023-04-21
LW045DVYSGRD75TK6U54,nd6h69,2023-04-21
6X20RDH567MX2X3TXYJ7,692erx,2023-04-21
EN1SA43DTN2LIR8DEW5S,vdwahs,2023-04-21
AK81O7W3KGPEN8LABG2N,fl2w1e,2023-04-21
OY5LNPB5A8FF43ITRZG3,ljrrcz,2023-04-21
LTRZRCI4M19WYVL6Q6L5,hatbdl,2023-04-21
OAGTYWN8WFC997VLDJH7,t1mx3j,2023-04-21
M0LU6DCI1WILGQBZ6808,nxief0,2023-04-21
LTRZRCI4M19WYVL6Q6L5,r2e2i7,2023-04-21
P41C5HK4P2G5GFRMT6ZA,b7cd61,2023-04-21
5E325T5HYL61QSABVR5V,ea8b1r,2023-04-21
Y0W3K7OV6ZLILW96OO3K,jegpe2,2023-04-21
LW045DVYSGRD75TK6U54,8bd8nw,2023-04-21
LW045DVYSGRD75TK6U54,ebw8ae,2023-04-21
62FIK8F2YT8JSFDBLEC9,hezh6d,2023-04-21
M0LU6DCI1WILGQBZ6808,0gn9yg,2023-04-21
M0LU6DCI1WILGQBZ6808,4mbhwe,2023-04-21
6X20RDH567MX2X3TXYJ7,n268jv,2023-04-21
GXLKAA83238FVRU718EX,6ut1bp,2023-04-21
2WPF1NXECF3G6NUMWDO7,93h00e,2023-04-21
2WPF1NXECF3G6NUMWDO7,leqy24,2023-04-21
6X20RDH567MX2X3TXYJ7,w9r32r,2023-04-21
OY5LNPB5A8FF43ITRZG3,83pl8y,2023-04-21
EN1SA43DTN2LIR8DEW5S,vdwahs,2023-04-21
Y0W3K7OV6ZLILW96OO3K,dinjn2,2023-04-21
62FIK8F2YT8JSFDBLEC9,wqd44x,2023-04-21
KD9PHCBGYFBRI9ET1O9R,tdkki8,2023-04-21
EN1SA43DTN2LIR8DEW5S,jxz8l4,2023-04-21
P41C5HK4P2G5GFRMT6ZA,9eaosn,2023-04-21
GXLKAA83238FVRU718EX,04hpox,2023-04-21
AK81O7W3KGPEN8LABG2N,qwva9i,2023-04-21
2WPF1NXECF3G6NUMWDO7,a1lrep,2023-04-21
IOBPI63RBJIHI5FB7U9O,pvfsnl,2023-04-21
EN1SA43DTN2LIR8DEW5S,svowxw,2023-04-21
LW045DVYSGRD75TK6U54,nnbet1,2023-04-21
KD9PHCBGYFBRI9ET1O9R,7aooy8,2023-04-21
EN1SA43DTN2LIR8DEW5S,0zhiti,2023-04-21
LW045DVYSGRD75TK6U54,xq2mjn,2023-04-21
6X20RDH567MX2X3TXYJ7,udfm3t,2023-04-21
6X20RDH567MX2X3TXYJ7,5m9de4,2023-04-21
EN1SA43DTN2LIR8DEW5S,jcu4sb,2023-04-21
62FIK8F2YT8JSFDBLEC9,2jacnf,2023-04-21
OAGTYWN8WFC997VLDJH7,286far,2023-04-21
P41C5HK4P2G5GFRMT6ZA,8816pd,2023-04-21
2WPF1NXECF3G6NUMWDO7,02qhao,2023-04-21
IOBPI63RBJIHI5FB7U9O,pvfsnl,2023-04-21
IDOFCO721HTJGDH7332G,jb0u8s,2023-04-21
Y0W3K7OV6ZLILW96OO3K,y5grl2,2023-04-21
