advertiser_id,product_id,date
2WPF1NXECF3G6NUMWDO7,ua4slr,2023-04-01
03KNVBO915KY2ZPGA57J,gf3odv,2023-04-01
IDOFCO721HTJGDH7332G,88i2x0,2023-04-01
EN1SA43DTN2LIR8DEW5S,wgm1iv,2023-04-01
M0LU6DCI1WILGQBZ6808,arbc4z,2023-04-01
1OW4LWJSBJK6E1D9FDH7,79col0,2023-04-01
LW045DVYSGRD75TK6U54,qvwvkh,2023-04-01
1OW4LWJSBJK6E1D9FDH7,ujq5k6,2023-04-01
Y0W3K7OV6ZLILW96OO3K,rq9cad,2023-04-01
Y0W3K7OV6ZLILW96OO3K,us7krn,2023-04-01
8C88YB6E8YCGWU07HA7A,unjs1p,2023-04-01
5E325T5HYL61QSABVR5V,zat5k1,2023-04-01
GXLKAA83238FVRU718EX,c17ag8,2023-04-01
K6Z0X85ZUY0TSF4RCG5J,zpv8dp,2023-04-01
HC26ZE93SA4WWA0BRFM6,ww0054,2023-04-01
9Z77N44VDW6KX6VBWJ4X,mgaubk,2023-04-01
03KNVBO915KY2ZPGA57J,li3tv7,2023-04-01
LW045DVYSGRD75TK6U54,60jcl8,2023-04-01
GXLKAA83238FVRU718EX,mejm49,2023-04-01
P41C5HK4P2G5GFRMT6ZA,mzbfb0,2023-04-01
K6Z0X85ZUY0TSF4RCG5J,l5lrxc,2023-04-01
IOBPI63RBJIHI5FB7U9O,hzehkg,2023-04-01
M0LU6DCI1WILGQBZ6808,2upl1f,2023-04-01
SOVPFK3BBWKTQM9HOHWJ,7citsq,2023-04-01
IDOFCO721HTJGDH7332G,nry2zp,2023-04-01
OAGTYWN8WFC997VLDJH7,cvqv40,2023-04-01
1OW4LWJSBJK6E1D9FDH7,bn6jow,2023-04-01
62FIK8F2YT8JSFDBLEC9,wi9lj5,2023-04-01
IDOFCO721HTJGDH7332G,5jucyv,2023-04-01
M0LU6DCI1WILGQBZ6808,tibvi5,2023-04-01
03KNVBO915KY2ZPGA57J,h2alr9,2023-04-01
OY5LNPB5A8FF43ITRZG3,cpmdka,2023-04-01
AK81O7W3KGPEN8LABG2N,56lmv7,2023-04-01
OAGTYWN8WFC997VLDJH7,qnzwqb,2023-04-01
M0LU6DCI1WILGQBZ6808,awitr9,2023-04-01
LW045DVYSGRD75TK6U54,y6e7bq,2023-04-01
EN1SA43DTN2LIR8DEW5S,4p39lo,2023-04-01
EN1SA43DTN2LIR8DEW5S,iq3x4o,2023-04-01
P41C5HK4P2G5GFRMT6ZA,tg5cu9,2023-04-01
5E325T5HYL61QSABVR5V,6vn1qq,2023-04-01
OAGTYWN8WFC997VLDJH7,btoas7,2023-04-01
62FIK8F2YT8JSFDBLEC9,ny6ej6,2023-04-01
62FIK8F2YT8JSFDBLEC9,nsgvlc,2023-04-01
IOBPI63RBJIHI5FB7U9O,btnfxa,2023-04-01
6X20RDH567MX2X3TXYJ7,w9r32r,2023-04-01
1OW4LWJSBJK6E1D9FDH7,555eou,2023-04-01
HC26ZE93SA4WWA0BRFM6,34kk9b,2023-04-01
IDOFCO721HTJGDH7332G,f3vh4x,2023-04-01
62FIK8F2YT8JSFDBLEC9,f5vm9z,2023-04-01
IDOFCO721HTJGDH7332G,byto7g,2023-04-01
62FIK8F2YT8JSFDBLEC9,wqd44x,2023-04-01
K6Z0X85ZUY0TSF4RCG5J,519aus,2023-04-01
1OW4LWJSBJK6E1D9FDH7,ehzlxh,2023-04-01
GXLKAA83238FVRU718EX,e5uxl8,2023-04-01
1OW4LWJSBJK6E1D9FDH7,n55ban,2023-04-01
1OW4LWJSBJK6E1D9FDH7,co3t60,2023-04-01
Y0W3K7OV6ZLILW96OO3K,txhefn,2023-04-01
GXLKAA83238FVRU718EX,3fsd42,2023-04-01
L6WM4665XZVS9MCZRTVI,c294yd,2023-04-01
03KNVBO915KY2ZPGA57J,ffyptu,2023-04-01
GXLKAA83238FVRU718EX,1lbvq4,2023-04-01
P41C5HK4P2G5GFRMT6ZA,uvbsfb,2023-04-01
IDOFCO721HTJGDH7332G,sphyb2,2023-04-01
LTRZRCI4M19WYVL6Q6L5,16rfm6,2023-04-01
GXLKAA83238FVRU718EX,kl31xb,2023-04-01
L6WM4665XZVS9MCZRTVI,ykxjs2,2023-04-01
IOBPI63RBJIHI5FB7U9O,s5fwa8,2023-04-01
LTRZRCI4M19WYVL6Q6L5,d2fb4c,2023-04-01
EN1SA43DTN2LIR8DEW5S,vxath3,2023-04-01
OY5LNPB5A8FF43ITRZG3,xueg4l,2023-04-01
9Z77N44VDW6KX6VBWJ4X,ojeb8d,2023-04-01
EN1SA43DTN2LIR8DEW5S,hkptqn,2023-04-01
62FIK8F2YT8JSFDBLEC9,rrwqep,2023-04-01
03KNVBO915KY2ZPGA57J,zspqxt,2023-04-01
LTRZRCI4M19WYVL6Q6L5,1kx1hr,2023-04-01
M0LU6DCI1WILGQBZ6808,4mbhwe,2023-04-01
OY5LNPB5A8FF43ITRZG3,wdyy3h,2023-04-01
8C88YB6E8YCGWU07HA7A,a9zk9m,2023-04-01
IDOFCO721HTJGDH7332G,9tmw53,2023-04-01
LTRZRCI4M19WYVL6Q6L5,wsgbvp,2023-04-01
5E325T5HYL61QSABVR5V,muixf6,2023-04-01
2WPF1NXECF3G6NUMWDO7,g3p5nh,2023-04-01
HC26ZE93SA4WWA0BRFM6,6ld5v0,2023-04-01
LTRZRCI4M19WYVL6Q6L5,26lbt9,2023-04-01
HC26ZE93SA4WWA0BRFM6,wvq4x9,2023-04-01
8C88YB6E8YCGWU07HA7A,d723xs,2023-04-01
IOBPI63RBJIHI5FB7U9O,qxogco,2023-04-01
EN1SA43DTN2LIR8DEW5S,ahyyjo,2023-04-01
KD9PHCBGYFBRI9ET1O9R,g25b4w,2023-04-01
IDOFCO721HTJGDH7332G,z7nbhq,2023-04-01
IOBPI63RBJIHI5FB7U9O,zmttuk,2023-04-01
P41C5HK4P2G5GFRMT6ZA,nppd8v,2023-04-01
5E325T5HYL61QSABVR5V,b84pqo,2023-04-01
LTRZRCI4M19WYVL6Q6L5,uac2l6,2023-04-01
IDOFCO721HTJGDH7332G,m0rky3,2023-04-01
L6WM4665XZVS9MCZRTVI,vod2nf,2023-04-01
6X20RDH567MX2X3TXYJ7,903oj3,2023-04-01
M0LU6DCI1WILGQBZ6808,xti7at,2023-04-01
Y0W3K7OV6ZLILW96OO3K,u8dg3y,2023-04-01
OAGTYWN8WFC997VLDJH7,trv2xo,2023-04-01
M0LU6DCI1WILGQBZ6808,xd4w38,2023-04-01
IDOFCO721HTJGDH7332G,sphyb2,2023-04-01
M0LU6DCI1WILGQBZ6808,y9yacu,2023-04-01
03KNVBO915KY2ZPGA57J,zdyhoe,2023-04-01
03KNVBO915KY2ZPGA57J,5soemx,2023-04-01
Y0W3K7OV6ZLILW96OO3K,r66oka,2023-04-01
1OW4LWJSBJK6E1D9FDH7,b5k63o,2023-04-01
M0LU6DCI1WILGQBZ6808,b8hkbl,2023-04-01
1OW4LWJSBJK6E1D9FDH7,i6cot8,2023-04-01
OY5LNPB5A8FF43ITRZG3,ntsnzb,2023-04-01
OY5LNPB5A8FF43ITRZG3,v0toqe,2023-04-01
LW045DVYSGRD75TK6U54,x8p4un,2023-04-01
Y0W3K7OV6ZLILW96OO3K,ypztvs,2023-04-01
GXLKAA83238FVRU718EX,k5uov7,2023-04-01
AK81O7W3KGPEN8LABG2N,gq2cvz,2023-04-01
GXLKAA83238FVRU718EX,b5zefy,2023-04-01
5E325T5HYL61QSABVR5V,ea8b1r,2023-04-01
P41C5HK4P2G5GFRMT6ZA,k9jkou,2023-04-01
HC26ZE93SA4WWA0BRFM6,g9mijl,2023-04-01
IDOFCO721HTJGDH7332G,2342mk,2023-04-01
SOVPFK3BBWKTQM9HOHWJ,5vq3pc,2023-04-01
Y0W3K7OV6ZLILW96OO3K,v0bao7,2023-04-01
KD9PHCBGYFBRI9ET1O9R,thyp7n,2023-04-01
L6WM4665XZVS9MCZRTVI,vod2nf,2023-04-01
M0LU6DCI1WILGQBZ6808,0gn9yg,2023-04-01
HC26ZE93SA4WWA0BRFM6,y2b34s,2023-04-01
Y0W3K7OV6ZLILW96OO3K,y9pca2,2023-04-01
SOVPFK3BBWKTQM9HOHWJ,z1g8ow,2023-04-01
IOBPI63RBJIHI5FB7U9O,4nocu9,2023-04-01
1OW4LWJSBJK6E1D9FDH7,osrnox,2023-04-01
GXLKAA83238FVRU718EX,mejm49,2023-04-01
M0LU6DCI1WILGQBZ6808,8tte7t,2023-04-01
8C88YB6E8YCGWU07HA7A,obbiob,2023-04-01
IOBPI63RBJIHI5FB7U9O,so3caa,2023-04-01
HC26ZE93SA4WWA0BRFM6,3cuq6o,2023-04-01
EN1SA43DTN2LIR8DEW5S,gzut0j,2023-04-01
IOBPI63RBJIHI5FB7U9O,fk4o1h,2023-04-01
L6WM4665XZVS9MCZRTVI,fa9fch,2023-04-01
LW045DVYSGRD75TK6U54,fdu1g4,2023-04-01
LTRZRCI4M19WYVL6Q6L5,dp59nx,2023-04-01
K6Z0X85ZUY0TSF4RCG5J,l5lrxc,2023-04-01
